Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.010000,0,0.490000,0.490000,0.490000,0.490000,0.490000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.020000,0,0.479000,0.479000,0.479000,0.479000,0.479000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.030000,0,0.461000,0.461000,0.461000,0.461000,0.461000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.040000,0,0.454000,0.454000,0.454000,0.454000,0.454000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.050000,0,0.449000,0.449000,0.449000,0.449000,0.449000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.060000,0,0.443000,0.443000,0.443000,0.443000,0.443000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.070000,0,0.438000,0.438000,0.438000,0.438000,0.438000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.080000,0,0.434000,0.434000,0.434000,0.434000,0.434000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.090000,0,0.430000,0.430000,0.430000,0.430000,0.430000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.100000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.110000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.120000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.130000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.140000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.150000,0,0.427000,0.427000,0.427000,0.427000,0.427000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.160000,0,0.426000,0.426000,0.426000,0.426000,0.426000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.170000,0,0.426000,0.426000,0.426000,0.426000,0.426000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.180000,0,0.426000,0.426000,0.426000,0.426000,0.426000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
0.190000,0,0.426000,0.426000,0.426000,0.426000,0.426000,0.000000,0.000000,0.000000,0.000000,6.780000,130.584000,130.584000,
