time,mass,MOIx,MOIy,MOIz,centre-of-mass
0.000000,65.896071,0.280714,307.533803,307.533803,1.759822
0.005000,65.878447,0.280667,307.423248,307.423248,1.759675
0.010000,65.862389,0.280624,307.323920,307.323920,1.759549
0.015000,65.847398,0.280585,307.231810,307.231810,1.759434
0.020000,65.832700,0.280546,307.141735,307.141735,1.759323
0.025000,65.818096,0.280507,307.052354,307.052354,1.759213
0.030000,65.803519,0.280469,306.963222,306.963222,1.759103
0.035000,65.788954,0.280431,306.874241,306.874241,1.758994
0.040000,65.774396,0.280392,306.785383,306.785383,1.758885
0.045000,65.759846,0.280354,306.696647,306.696647,1.758776
0.050000,65.745304,0.280316,306.608034,306.608034,1.758668
0.055000,65.730769,0.280277,306.519541,306.519541,1.758560
0.060000,65.716240,0.280239,306.431159,306.431159,1.758452
0.065000,65.701720,0.280201,306.342905,306.342905,1.758344
0.070000,65.687207,0.280162,306.254766,306.254766,1.758236
0.075000,65.672702,0.280124,306.166751,306.166751,1.758129
0.080000,65.658203,0.280086,306.078851,306.078851,1.758022
0.085000,65.643711,0.280048,305.991071,305.991071,1.757915
0.090000,65.629227,0.280009,305.903406,305.903406,1.757808
0.095000,65.614752,0.279971,305.815874,305.815874,1.757702
0.100000,65.600281,0.279933,305.728438,305.728438,1.757596
0.105000,65.585819,0.279895,305.641127,305.641127,1.757490
0.110000,65.571364,0.279857,305.285777,305.285777,1.757384
0.115000,65.556916,0.279819,305.199101,305.199101,1.757278
0.120000,65.542475,0.279780,305.112547,305.112547,1.757173
0.125000,65.528042,0.279742,305.026108,305.026108,1.756668
0.130000,65.513615,0.279704,304.939727,304.939727,1.756564
0.135000,65.499195,0.279666,304.853513,304.853513,1.756460
0.140000,65.484782,0.279628,304.722200,304.722200,1.756356
0.145000,65.470376,0.279590,304.636279,304.636279,1.756253
0.150000,65.455977,0.279552,304.550478,304.550478,1.756149
0.155000,65.441585,0.279514,304.464780,304.464780,1.756046
0.160000,65.427200,0.279476,304.379203,304.379203,1.755943
0.165000,65.412822,0.279438,304.293732,304.293732,1.755840
0.170000,65.398449,0.279400,304.208370,304.208370,1.755738
0.175000,65.384085,0.279362,304.123126,304.123126,1.755636
0.180000,65.369727,0.279324,304.037990,304.037990,1.755534
0.185000,65.355376,0.279287,303.952961,303.952961,1.755432
