time,thrust,chamber_pressure
0.000000,0.000000,101325.000000
0.002000,2002.280786,30721.914838
0.004000,3761.960231,55609.685426
0.006000,4655.950106,67558.089639
0.008000,5210.371430,74628.411374
0.010000,5549.523695,78740.237217
0.012000,5754.840319,81072.621912
0.014000,5877.068966,82352.409282
0.016000,5949.086076,83023.331491
0.018000,5990.782043,83349.294039
0.020000,6014.458743,83486.383161
0.022000,6027.479680,83523.673948
0.024000,6034.265093,83511.281726
0.026000,6037.448766,83476.859708
0.028000,6038.575460,83434.669237
0.030000,6038.538557,83391.583899
0.032000,6037.856075,83350.676421
0.034000,6036.825633,83313.033147
0.036000,6035.615749,83278.756565
0.038000,6034.319963,83247.511544
0.040000,6032.988754,83218.811687
0.042000,6031.648231,83192.160505
0.044000,6030.310991,83167.113688
0.046000,6028.982349,83143.300116
0.048000,6027.663862,83120.422612
0.050000,6026.355284,83098.249857
0.052000,6025.055615,83076.605383
0.054000,6023.763640,83055.356560
0.056000,6022.478191,83034.404836
0.058000,6021.198253,83013.677628
0.060000,6019.922990,82993.121851
0.062000,6018.651741,82972.698896
0.064000,6017.383995,82952.380807
0.066000,6016.119363,82932.147408
0.068000,6014.857554,82911.984176
0.070000,6013.598351,82891.880673
0.072000,6012.341595,82871.829406
0.074000,6011.087169,82851.824992
0.076000,6009.834987,82831.863559
0.078000,6008.584987,82811.942315
0.080000,6007.337124,82792.059238
0.082000,6006.091363,82772.212852
0.084000,6004.847681,82752.402072
0.086000,6003.606058,82732.626086
0.088000,6002.366482,82712.884280
0.090000,6001.128942,82693.176179
0.092000,5999.893430,82673.501406
0.094000,5998.659939,82653.859653
0.096000,5997.428464,82634.250661
0.098000,5996.199002,82614.674208
0.100000,5994.971547,82595.130094
0.102000,5993.746097,82575.618141
0.104000,5992.522649,82556.138179
0.106000,5991.301199,82536.690049
0.108000,5990.081746,82517.273600
0.110000,5988.864286,82497.888683
0.112000,5987.648818,82478.535155
0.114000,5986.435339,82459.212873
0.116000,5985.223846,82439.921698
0.118000,5984.014337,82420.661492
0.120000,5982.806810,82401.432118
0.122000,5981.601263,82382.233441
0.124000,5980.397694,82363.065324
0.126000,5979.196099,82343.927634
0.128000,5977.996478,82324.820236
0.130000,5976.798829,82305.742999
0.132000,5975.603148,82286.695789
0.134000,5974.409398,82267.678567
0.136000,5973.217518,82248.691529
0.138000,5972.027514,82229.734747
0.140000,5970.839386,82210.808225
0.142000,5969.653135,82191.911925
0.144000,5968.468758,82173.045787
0.146000,5967.286251,82154.209736
0.148000,5966.105610,82135.403690
0.150000,5964.926828,82116.627563
0.152000,5963.749902,82097.881268
0.154000,5962.574827,82079.164718
0.156000,5961.401595,82060.477825
0.158000,5960.230203,82041.820501
0.160000,5959.060644,82023.192660
0.162000,5957.892914,82004.594216
0.164000,5956.727006,81986.025083
0.166000,5955.562916,81967.485178
0.168000,5954.400637,81948.974417
0.170000,5953.240164,81930.492716
0.172000,5952.081492,81912.039993
0.174000,5950.924614,81893.616167
0.176000,5949.769527,81875.221157
0.178000,5948.616223,81856.854882
0.180000,5947.464698,81838.517263
0.182000,5946.314946,81820.208220
0.184000,5945.166961,81801.927676
0.186000,5944.020738,81783.675552
0.188000,5942.876272,81765.451771
0.190000,5941.733556,81747.256258
0.192000,5940.592586,81729.088936
0.194000,5939.453356,81710.949729
0.196000,5938.315860,81692.838563
0.198000,5937.180093,81674.755365
0.200000,5936.046050,81656.700059
0.202000,5934.913724,81638.672575
0.204000,5933.783111,81620.672838
0.206000,5932.654204,81602.700779
0.208000,5931.526999,81584.756324
0.210000,5930.401489,81566.839404
0.212000,5929.277670,81548.949949
0.214000,5928.155536,81531.087889
0.216000,5927.035081,81513.253155
0.218000,5925.916300,81495.445679
0.220000,5924.799187,81477.665393
0.222000,5923.683737,81459.912230
0.224000,5922.569944,81442.186123
0.226000,5921.457803,81424.487006
0.228000,5920.347309,81406.814813
0.230000,5919.238456,81389.169479
0.232000,5918.131238,81371.550939
0.234000,5917.025650,81353.959130
0.236000,5915.921686,81336.393987
0.238000,5914.819342,81318.855448
0.240000,5913.718611,81301.343449
0.242000,5912.619489,81283.857930
0.244000,5911.521969,81266.398828
0.246000,5910.426046,81248.966083
0.248000,5909.331715,81231.559632
0.250000,5908.238971,81214.179418
0.252000,5907.147807,81196.825379
0.254000,5906.058219,81179.497457
0.256000,5904.970201,81162.195593
0.258000,5903.883748,81144.919729
0.260000,5902.798854,81127.669807
0.262000,5901.715514,81110.445769
0.264000,5900.633722,81093.247559
0.266000,5899.553474,81076.075121
0.268000,5898.474763,81058.928399
0.270000,5897.397584,81041.807336
0.272000,5896.321932,81024.711878
0.274000,5895.247802,81007.641971
0.276000,5894.175188,80990.597560
0.278000,5893.104084,80973.578591
0.280000,5892.034486,80956.585011
0.282000,5890.966388,80939.616767
0.284000,5889.899785,80922.673807
0.286000,5888.834671,80905.756079
0.288000,5887.771041,80888.863530
0.290000,5886.708890,80871.996109
0.292000,5885.648215,80855.153765
0.294000,5884.589047,80838.336389
0.296000,5883.531386,80821.543811
0.298000,5882.475223,80804.775900
0.300000,5881.420549,80788.032563
0.302000,5880.367358,80771.313723
0.304000,5879.315644,80754.619317
0.306000,5878.265404,80737.949284
0.308000,5877.216632,80721.303572
0.310000,5876.169325,80704.682128
0.312000,5875.123477,80688.084899
0.314000,5874.079086,80671.511835
0.316000,5873.036147,80654.962884
0.318000,5871.994656,80638.437994
0.320000,5870.954610,80621.937115
0.322000,5869.916004,80605.460195
0.324000,5868.878836,80589.007183
0.326000,5867.843100,80572.578026
0.328000,5866.808795,80556.172673
0.330000,5865.775915,80539.791072
0.332000,5864.744457,80523.433170
0.334000,5863.714418,80507.098916
0.336000,5862.685794,80490.788257
0.338000,5861.658582,80474.501141
0.340000,5860.632777,80458.237515
0.342000,5859.608377,80441.997326
0.344000,5858.585377,80425.780523
0.346000,5857.563776,80409.587052
0.348000,5856.543568,80393.416861
0.350000,5855.524750,80377.269896
0.352000,5854.507320,80361.146105
0.354000,5853.491274,80345.045435
0.356000,5852.476608,80328.967833
0.358000,5851.463319,80312.913246
0.360000,5850.451404,80296.881620
0.362000,5849.440860,80280.872902
0.364000,5848.431683,80264.887040
0.366000,5847.423870,80248.923979
0.368000,5846.417418,80232.983667
0.370000,5845.412324,80217.066050
0.372000,5844.408584,80201.171075
0.374000,5843.406196,80185.298687
0.376000,5842.405156,80169.448835
0.378000,5841.405461,80153.621463
0.380000,5840.407108,80137.816519
0.382000,5839.410095,80122.033948
0.384000,5838.414417,80106.273697
0.386000,5837.420073,80090.535713
0.388000,5836.427058,80074.819941
0.390000,5835.435371,80059.126328
0.392000,5834.445008,80043.454820
0.394000,5833.455966,80027.805363
0.396000,5832.468242,80012.177904
0.398000,5831.481834,79996.572387
0.400000,5830.496739,79980.988760
0.402000,5829.512953,79965.426969
0.404000,5828.530474,79949.886959
0.406000,5827.549299,79934.368676
0.408000,5826.569426,79918.872067
0.410000,5825.590851,79903.397077
0.412000,5824.613573,79887.943653
0.414000,5823.637587,79872.511740
0.416000,5822.662892,79857.101285
0.418000,5821.689484,79841.712233
0.420000,5820.717361,79826.344530
0.422000,5819.746521,79810.998122
0.424000,5818.776961,79795.672955
0.426000,5817.808678,79780.368975
0.428000,5816.841669,79765.086128
0.430000,5815.875932,79749.824360
0.432000,5814.911465,79734.583616
0.434000,5813.948265,79719.363843
0.436000,5812.986329,79704.164986
0.438000,5812.025655,79688.986992
0.440000,5811.066240,79673.829806
0.442000,5810.108082,79658.693374
0.444000,5809.151179,79643.577642
0.446000,5808.195527,79628.482556
0.448000,5807.241125,79613.408062
0.450000,5806.287970,79598.354107
0.452000,5805.336060,79583.320635
0.454000,5804.385393,79568.307593
0.456000,5803.435965,79553.314927
0.458000,5802.487775,79538.342582
0.460000,5801.540820,79523.390506
0.462000,5800.595099,79508.458644
0.464000,5799.650608,79493.546942
0.466000,5798.707345,79478.655346
0.468000,5797.765309,79463.783802
0.470000,5796.824497,79448.932257
0.472000,5795.884895,79434.100654
0.474000,5794.946464,79419.289109
0.476000,5794.009207,79404.497690
0.478000,5793.073125,79389.726374
0.480000,5792.138218,79374.975115
0.482000,5791.204487,79360.243856
0.484000,5790.271930,79345.532537
0.486000,5789.340545,79330.841094
0.488000,5788.410331,79316.169463
0.490000,5787.481286,79301.517578
0.492000,5786.553409,79286.885376
0.494000,5785.626697,79272.272791
0.496000,5784.701150,79257.679759
0.498000,5783.776764,79243.106218
0.500000,5782.853538,79228.552103
0.502000,5781.931470,79214.017353
0.504000,5781.010558,79199.501905
0.506000,5780.090801,79185.005697
0.508000,5779.172196,79170.528668
0.510000,5778.254742,79156.070757
0.512000,5777.338436,79141.631903
0.514000,5776.423278,79127.212047
0.516000,5775.509264,79112.811128
0.518000,5774.596393,79098.429086
0.520000,5773.684664,79084.065864
0.522000,5772.774074,79069.721401
0.524000,5771.864621,79055.395639
0.526000,5770.956304,79041.088521
0.528000,5770.049120,79026.799988
0.530000,5769.143069,79012.529983
0.532000,5768.238147,78998.278448
0.534000,5767.334353,78984.045327
0.536000,5766.431685,78969.830564
0.538000,5765.530142,78955.634101
0.540000,5764.629721,78941.455884
0.542000,5763.730421,78927.295856
0.544000,5762.832239,78913.153963
0.546000,5761.935173,78899.030148
0.548000,5761.039223,78884.924359
0.550000,5760.144386,78870.836539
0.552000,5759.250659,78856.766635
0.554000,5758.358042,78842.714594
0.556000,5757.466532,78828.680362
0.558000,5756.576128,78814.663886
0.560000,5755.686827,78800.665112
0.562000,5754.798628,78786.683988
0.564000,5753.911529,78772.720463
0.566000,5753.025527,78758.774483
0.568000,5752.140622,78744.845998
0.570000,5751.256811,78730.934955
0.572000,5750.374092,78717.041303
0.574000,5749.492463,78703.164993
0.576000,5748.611923,78689.305972
0.578000,5747.732470,78675.464192
0.580000,5746.854102,78661.639600
0.582000,5745.976816,78647.832149
0.584000,5745.100611,78634.041788
0.586000,5744.225486,78620.268469
0.588000,5743.351438,78606.512141
0.590000,5742.478465,78592.772757
0.592000,5741.606566,78579.050268
0.594000,5740.735739,78565.344625
0.596000,5739.865981,78551.655782
0.598000,5738.997292,78537.983689
0.600000,5738.129668,78524.328301
0.602000,5737.263109,78510.689569
0.604000,5736.397612,78497.067447
0.606000,5735.533175,78483.461888
0.608000,5734.669797,78469.872845
0.610000,5733.807476,78456.300274
0.612000,5732.946210,78442.744127
0.614000,5732.085997,78429.204358
0.616000,5731.226835,78415.680924
0.618000,5730.368723,78402.173778
0.620000,5729.511658,78388.682875
0.622000,5728.655638,78375.208171
0.624000,5727.800663,78361.749621
0.626000,5726.946729,78348.307182
0.628000,5726.093835,78334.880808
0.630000,5725.241980,78321.470457
0.632000,5724.391161,78308.076085
0.634000,5723.541377,78294.697649
0.636000,5722.692625,78281.335104
0.638000,5721.844904,78267.988410
0.640000,5720.998212,78254.657522
0.642000,5720.152547,78241.342400
0.644000,5719.307908,78228.042999
